kirjastus_orig	kirjastus_standardized	N	min_time	max_time	min_time_st	max_time_st	standardizing_name	manual_verified
armeline	armeline	2	2010	2015	2010	2015	armeline	""
armijas spiestuves izdevums	armijas spiestuves izdevums	1	1929	1929	1929	1929	armijas spiestuves izdevums	""
armin kõomägi :	armin kõomägi :	2	2011	2011	2011	2011	armin kõomägi :	""
arn.mägi	arn.mägi	1	1931	1931	1931	1931	arn.mägi	""
arnold	arnold	2	1842	1984	1842	1984	arnold	""
arnold aasa koduülikool	arnold aasa koduülikool	1	Inf	-Inf	Inf	-Inf	arnold aasa koduülikool	""
arnoldische buchhandlung	arnoldische buchhandlung	2	1841	1841	1841	1841	arnoldische buchhandlung	""
arnoldsche art publishers	arnoldsche art publishers	1	2016	2016	2016	2016	arnoldsche art publishers	""
arnoldsche art publsher	arnoldsche art publsher	1	2011	2011	2011	2011	arnoldsche art publsher	""
arola editors	arola editors	1	2012	2012	2012	2012	arola editors	""
arras construction furniture	arras construction furniture	1	2015	2015	2015	2015	arras construction furniture	""
arro	arro	2	1991	1992	1991	1992	arro	""
ars	ars	4	1920	1939	1920	1939	ars	""
ars baltica	ars baltica	1	1996	1996	1996	1996	ars baltica	""
ars kunstikombinaat	ars kunstikombinaat	1	1975	1975	1975	1975	ars kunstikombinaat	""
ars orientalis	ars orientalis	6	2013	2016	2013	2016	ars orientalis	""
ars orientalis :	ars orientalis :	1	2013	2013	2013	2013	ars orientalis :	""
arstide koda	arstide koda	5	1931	1938	1931	1938	arstide koda	""
art handicraft walter koppel	art handicraft walter koppel	1	1951	1951	1951	1951	art handicraft walter koppel	""
art house	art house	1	1997	1997	1997	1997	art house	""
art industria	art industria	1	2001	2001	2001	2001	art industria	""
art ist kuku nu ut	art ist kuku nu ut	2	2013	2013	2013	2013	art ist kuku nu ut	""
art life projekt	art life projekt	2	2015	2015	2015	2015	art life projekt	""
art line	art line	1	2014	2014	2014	2014	art line	""
art museum of estonia	art museum of estonia	2	1996	1997	1996	1997	art museum of estonia	""
art museum of estonia :	art museum of estonia :	1	2016	2016	2016	2016	art museum of estonia :	""
art neoon	art neoon	2	2000	2003	2000	2003	art neoon	""
art põllumajanduseliit	art põllumajanduseliit	1	1928	1928	1928	1928	art põllumajanduseliit	""
art põllumajandusliit	art põllumajandusliit	4	1928	1938	1928	1938	art põllumajandusliit	""
art studio	art studio	1	2001	2001	2001	2001	art studio	""
artdepoo	artdepoo	2	2005	2009	2005	2009	artdepoo	""
artellect press	artellect press	5	2014	2016	2014	2016	artellect press	""
artellide peavalitsus	artellide peavalitsus	1	1940	1940	1940	1940	artellide peavalitsus	""
artem davidjants	artem davidjants	1	2018	2018	2018	2018	artem davidjants	""
artemark	artemark	1	2004	2004	2004	2004	artemark	""
artipictura	artipictura	1	2005	2005	2005	2005	artipictura	""
artis	artis	1	2008	2008	2008	2008	artis	""
artishok	artishok	1	2018	2018	2018	2018	artishok	""
artists' union of estonia :	artists' union of estonia :	1	1989	1989	1989	1989	artists' union of estonia :	""
arto 1	arto 1	1	2011	2011	2011	2011	arto 1	""
artos & norma	artos & norma	1	2002	2002	2002	2002	artos & norma	""
artsturm	artsturm	3	1999	2003	1999	2003	artsturm	""
artur jurin	artur jurin	1	2013	2013	2013	2013	artur jurin	""
artur rohuste	artur rohuste	1	1962	1962	1962	1962	artur rohuste	""
artwerk	artwerk	3	2012	2014	2012	2014	artwerk	""
aru	aru	1	1994	1994	1994	1994	aru	""
aruküla heakorra selts	aruküla heakorra selts	1	1932	1932	1932	1932	aruküla heakorra selts	""
aruküla põhikool	aruküla põhikool	1	2007	2007	2007	2007	aruküla põhikool	""
arula külaselts	arula külaselts	2	2014	2018	2014	2018	arula külaselts	""
arveasjanduse revidentide ühing	arveasjanduse revidentide ühing	1	1931	1931	1931	1931	arveasjanduse revidentide ühing	""
arvestori arvutikool	arvestori arvutikool	1	1993	1993	1993	1993	arvestori arvutikool	""
arvestusabi	arvestusabi	2	2011	2011	2011	2011	arvestusabi	""
arvi kruuberg	arvi kruuberg	1	2017	2017	2017	2017	arvi kruuberg	""
arvi parbo	arvi parbo	1	2007	2007	2007	2007	arvi parbo	""
arvika verken	arvika verken	3	1926	1937	1926	1937	arvika verken	""
arvo horm	arvo horm	1	1974	1974	1974	1974	arvo horm	""
arvo kaal	arvo kaal	1	1948	1948	1948	1948	arvo kaal	""
arvo pärdi keskus	arvo pärdi keskus	2	2017	2018	2017	2018	arvo pärdi keskus	""
arvo pärt centre	arvo pärt centre	1	2014	2014	2014	2014	arvo pärt centre	""
arvutikirjastus	arvutikirjastus	7	2002	2005	2002	2005	arvutikirjastus	""
arvutikirjastus ;	arvutikirjastus ;	1	2003	2003	2003	2003	arvutikirjastus ;	""
arvutileht edit	arvutileht edit	6	1996	2011	1996	2011	arvutileht edit	""
arwil	arwil	1	2006	2006	2006	2006	arwil	""
as arro	as arro	1	1990	1990	1990	1990	as arro	""
as maves	as maves	2	2008	2008	2008	2008	as maves	""
as sokotel	as sokotel	1	2015	2015	2015	2015	as sokotel	""
as version	as version	1	1994	1994	1994	1994	as version	""
as was	as was	1	1996	1996	1996	1996	as was	""
aschehoug	aschehoug	1	1982	1982	1982	1982	aschehoug	""
aschehoug :	aschehoug :	1	1928	1928	1928	1928	aschehoug :	""
aschendorff	aschendorff	1	2011	2011	2011	2011	aschendorff	""
aseri keskkool	aseri keskkool	1	1996	1996	1996	1996	aseri keskkool	""
aseri valla huvitegevuse selts	aseri valla huvitegevuse selts	1	2011	2011	2011	2011	aseri valla huvitegevuse selts	""
aseri vallavalitsus	aseri vallavalitsus	1	2018	2018	2018	2018	aseri vallavalitsus	""
aseri vallavolikogu	aseri vallavolikogu	1	2002	2002	2002	2002	aseri vallavolikogu	""
asher	asher	1	1903	1903	1903	1903	asher	""
ashgate	ashgate	5	1999	2015	1999	2015	ashgate	""
ashot jegikjan	ashot jegikjan	1	2018	2018	2018	2018	ashot jegikjan	""
askelin & hägglund	askelin & hägglund	1	1981	1981	1981	1981	askelin & hägglund	""
askild & kärnekull	askild & kärnekull	4	1971	1978	1971	1978	askild & kärnekull	""
asocation de cultivadores de patata de estonia	asocation de cultivadores de patata de estonia	1	1938	1938	1938	1938	asocation de cultivadores de patata de estonia	""
aspec	aspec	1	1993	1993	1993	1993	aspec	""
aspectum eesti	aspectum eesti	2	1997	1997	1997	1997	aspectum eesti	""
asperg	asperg	2	1993	1993	1993	1993	asperg	""
asporal	asporal	6	1999	2007	1999	2007	asporal	""
asrai capital	asrai capital	1	2018	2018	2018	2018	asrai capital	""
asrama rama tam om	asrama rama tam om	1	1989	1989	1989	1989	asrama rama tam om	""
assafrey	assafrey	1	1867	1867	1867	1867	assafrey	""
assamalla emadepäeva korraldav komitee	assamalla emadepäeva korraldav komitee	1	1935	1935	1935	1935	assamalla emadepäeva korraldav komitee	""
assembly of captive european nations	assembly of captive european nations	9	1961	1968	1961	1968	assembly of captive european nations	""
assemblée nationale	assemblée nationale	1	2001	2001	2001	2001	assemblée nationale	""
asser press	asser press	1	1999	1999	1999	1999	asser press	""
assikvere haridusselts	assikvere haridusselts	1	2015	2015	2015	2015	assikvere haridusselts	""
association de l'art contemporain franco européen	association de l'art contemporain franco européen	1	2011	2011	2011	2011	association de l'art contemporain franco européen	""
association for the advancement of baltic studies	association for the advancement of baltic studies	7	1969	1983	1969	1983	association for the advancement of baltic studies	""
association for the advancement of baltic studies ;	association for the advancement of baltic studies ;	1	1974	1974	1974	1974	association for the advancement of baltic studies ;	""
association france estonie	association france estonie	1	1997	1997	1997	1997	association france estonie	""
"association france estonie """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""pont de la démocratie"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	"association france estonie """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""pont de la démocratie"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	1	2011	2011	2011	2011	"association france estonie ""pont de la démocratie"	""
association française d'action artistique	association française d'action artistique	1	2001	2001	2001	2001	association française d'action artistique	""
association of baltic numismatists	association of baltic numismatists	1	2016	2016	2016	2016	association of baltic numismatists	""
association of estonian public administration students	association of estonian public administration students	1	1996	1996	1996	1996	association of estonian public administration students	""
association pur le developpement des etudes finno ougriennes ;	association pur le developpement des etudes finno ougriennes ;	1	1993	1993	1993	1993	association pur le developpement des etudes finno ougriennes ;	""
"associazione culturale """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""in forma di parole"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	"associazione culturale """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""in forma di parole"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	1	2009	2009	2009	2009	"associazione culturale ""in forma di parole"	""
associação de amigos do memorial do imigrante	associação de amigos do memorial do imigrante	1	2001	2001	2001	2001	associação de amigos do memorial do imigrante	""
asta õim	asta õim	1	1991	1991	1991	1991	asta õim	""
astabi	astabi	1	1995	1995	1995	1995	astabi	""
astangu kutserehabilitatsiooni keskus	astangu kutserehabilitatsiooni keskus	2	2005	2011	2005	2011	astangu kutserehabilitatsiooni keskus	""
aste põhikool	aste põhikool	1	2001	2001	2001	2001	aste põhikool	""
asterisk	asterisk	1	2010	2010	2010	2010	asterisk	""
astlandia	astlandia	1	2006	2006	2006	2006	astlandia	""
astlandia :	astlandia :	4	2006	2006	2006	2006	astlandia :	""
astoria	astoria	2	1923	1924	1923	1924	astoria	""
astra	astra	1	1930	1930	1930	1930	astra	""
astroloogia selts	astroloogia selts	1	1994	1994	1994	1994	astroloogia selts	""
"astroloogia selts """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""zeus"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	"astroloogia selts """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""zeus"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	4	1995	2000	1995	2000	"astroloogia selts ""zeus"	""
astroloogia selts zeus	astroloogia selts zeus	2	1999	2000	1999	2000	astroloogia selts zeus	""
asuküla selts	asuküla selts	2	2010	2017	2010	2017	asuküla selts	""
asumaade valitsus	asumaade valitsus	2	1913	1914	1913	1914	asumaade valitsus	""
asutav kogu	asutav kogu	5	1920	1920	1920	1920	asutav kogu	""
asutava kogu juhatus	asutava kogu juhatus	1	1920	1920	1920	1920	asutava kogu juhatus	""
asuurkeraamika	asuurkeraamika	1	1998	1998	1998	1998	asuurkeraamika	""
asveja	asveja	1	1994	1994	1994	1994	asveja	""
asveto	asveto	2	1925	1926	1925	1926	asveto	""
at prateko	at prateko	1	2009	2009	2009	2009	at prateko	""
ata raamat	ata raamat	15	1993	2011	1993	2011	ata raamat	""
ateist	ateist	1	1908	1908	1908	1908	ateist	""
atelje guernica	atelje guernica	3	2006	2013	2006	2013	atelje guernica	""
atena	atena	8	1995	2002	1995	2002	atena	""
atena kustannus	atena kustannus	1	1998	1998	1998	1998	atena kustannus	""
ateneum	ateneum	1	1993	1993	1993	1993	ateneum	""
athena	athena	28	1996	1999	1996	1999	athena	""
athena film	athena film	1	1923	1923	1923	1923	athena film	""
athos	athos	1	2006	2006	2006	2006	athos	""
atk infokeskus	atk infokeskus	1	1989	1989	1989	1989	atk infokeskus	""
atlanta	atlanta	1	1921	1921	1921	1921	atlanta	""
atlantic books	atlantic books	5	2010	2017	2010	2017	atlantic books	""
atlantis	atlantis	3	1989	2014	1989	2014	atlantis	""
atlantise kirjastus	atlantise kirjastus	13	1997	2009	1997	2009	atlantise kirjastus	""
atlas	atlas	1	1995	1995	1995	1995	atlas	""
atlasnet	atlasnet	4	2009	2010	2009	2010	atlasnet	""
atlasnet keelekeskus	atlasnet keelekeskus	1	2012	2012	2012	2012	atlasnet keelekeskus	""
atlex	atlex	385	1993	2019	1993	2019	atlex	""
atlex :	atlex :	2	2002	2015	2002	2015	atlex :	""
atlex ;	atlex ;	2	2008	2010	2008	2010	atlex ;	""
atma (e.kuiv)	atma (e.kuiv)	1	1935	1935	1935	1935	atma (e.kuiv)	""
atmosphere libri	atmosphere libri	1	2013	2013	2013	2013	atmosphere libri	""
atomic energy society of japan	atomic energy society of japan	1	2006	2006	2006	2006	atomic energy society of japan	""
atrain kustannus	atrain kustannus	1	2017	2017	2017	2017	atrain kustannus	""
atrium	atrium	2	2010	2013	2010	2013	atrium	""
att ametiühingute vabariiklik komitee	att ametiühingute vabariiklik komitee	1	1989	1989	1989	1989	att ametiühingute vabariiklik komitee	""
attila	attila	1	2013	2013	2013	2013	attila	""
atēna	atēna	1	2011	2011	2011	2011	atēna	""
aubier	aubier	1	1955	1955	1955	1955	aubier	""
audentes mainor ülikool	audentes mainor ülikool	1	2002	2002	2002	2002	audentes mainor ülikool	""
audentes university :	audentes university :	1	2005	2005	2005	2005	audentes university :	""
audentese erakool	audentese erakool	2	2006	2006	2006	2006	audentese erakool	""
audentese kõrgem ärikool	audentese kõrgem ärikool	1	2000	2000	2000	2000	audentese kõrgem ärikool	""
audentese ülikool	audentese ülikool	1	2005	2005	2005	2005	audentese ülikool	""
audentese ülikool :	audentese ülikool :	1	2004	2004	2004	2004	audentese ülikool :	""
audiitortegevuse nõukogu	audiitortegevuse nõukogu	1	1996	1996	1996	1996	audiitortegevuse nõukogu	""
audru keskkool	audru keskkool	1	2009	2009	2009	2009	audru keskkool	""
audru lasteaed	audru lasteaed	1	2001	2001	2001	2001	audru lasteaed	""
audru valla tulekahju kordadel vastastiku abiandmise selts	audru valla tulekahju kordadel vastastiku abiandmise selts	1	1925	1925	1925	1925	audru valla tulekahju kordadel vastastiku abiandmise selts	""
audru vallavalitsus	audru vallavalitsus	3	1999	2017	1999	2017	audru vallavalitsus	""
aufbau	aufbau	1	1944	1944	1944	1944	aufbau	""
aufbau bühnen vertrieb	aufbau bühnen vertrieb	1	1948	1948	1948	1948	aufbau bühnen vertrieb	""
aufbau taschenbuch verlag	aufbau taschenbuch verlag	1	2000	2000	2000	2000	aufbau taschenbuch verlag	""
aufbau verlag	aufbau verlag	4	1943	1987	1943	1987	aufbau verlag	""
aug.jürgens	aug.jürgens	1	1929	1929	1929	1929	aug.jürgens	""
aug.jürgensi voodivabrik	aug.jürgensi voodivabrik	1	1931	1931	1931	1931	aug.jürgensi voodivabrik	""
aug.mickwitz	aug.mickwitz	1	1910	1910	1910	1910	aug.mickwitz	""
aug.sotnik	aug.sotnik	1	1921	1921	1921	1921	aug.sotnik	""
augsburgi usutunnistuse selts	augsburgi usutunnistuse selts	13	2009	2014	2009	2014	augsburgi usutunnistuse selts	""
august	august	1	1902	1902	1902	1902	august	""
august 20th club	august 20th club	1	2015	2015	2015	2015	august 20th club	""
august hirschwald	august hirschwald	2	1883	1889	1883	1889	august hirschwald	""
august kristall	august kristall	1	1907	1907	1907	1907	august kristall	""
august nigol	august nigol	1	1916	1916	1916	1916	august nigol	""
august nurk	august nurk	1	1939	1939	1939	1939	august nurk	""
august rannus	august rannus	1	1942	1942	1942	1942	august rannus	""
august roosileht	august roosileht	1	1920	1920	1920	1920	august roosileht	""
august tirmann	august tirmann	1	1931	1931	1931	1931	august tirmann	""
aule kirjastus	aule kirjastus	1	2003	2003	2003	2003	aule kirjastus	""
aumax	aumax	2	2011	2014	2011	2014	aumax	""
aun	aun	1	2015	2015	2015	2015	aun	""
aura	aura	9	1935	1943	1935	1943	aura	""
auratrükk	auratrükk	2	1999	2006	1999	2006	auratrükk	""
aurelia	aurelia	3	1991	1992	1991	1992	aurelia	""
auri	auri	1	2008	2008	2008	2008	auri	""
auringo	auringo	10	1919	1921	1919	1921	auringo	""
aurora	aurora	5	1916	1980	1916	1980	aurora	""
aurora art	aurora art	1	1980	1980	1980	1980	aurora art	""
aurulaev	aurulaev	1	1992	1992	1992	1992	aurulaev	""
ausland und heimat	ausland und heimat	1	1930	1930	1930	1930	ausland und heimat	""
austraalia eesti seltside liidu viii eesti päevade üldtoimkond	austraalia eesti seltside liidu viii eesti päevade üldtoimkond	1	1972	1972	1972	1972	austraalia eesti seltside liidu viii eesti päevade üldtoimkond	""
austraalia eesti seltside liit	austraalia eesti seltside liit	12	1954	1995	1954	1995	austraalia eesti seltside liit	""
australasian educa press	australasian educa press	1	1986	1986	1986	1986	australasian educa press	""
australasian institute of mining and metallurgy	australasian institute of mining and metallurgy	1	1992	1992	1992	1992	australasian institute of mining and metallurgy	""
auswärtiges amt	auswärtiges amt	1	Inf	-Inf	Inf	-Inf	auswärtiges amt	""
auto	auto	1	1929	1929	1929	1929	auto	""
auto tankide divisjon	auto tankide divisjon	1	1926	1926	1926	1926	auto tankide divisjon	""
auto union	auto union	2	1937	1939	1937	1939	auto union	""
auto24	auto24	6	2017	2019	2017	2019	auto24	""
autodata	autodata	1	1996	1996	1996	1996	autodata	""
autoerialade kirjandus oü	autoerialade kirjandus oü	1	2014	2014	2014	2014	autoerialade kirjandus oü	""
autoettevõtete liit	autoettevõtete liit	5	1995	2009	1995	2009	autoettevõtete liit	""
autojuht ja motorist	autojuht ja motorist	1	1930	1930	1930	1930	autojuht ja motorist	""
autoklubi	autoklubi	1	1934	1934	1934	1934	autoklubi	""
autom	autom	1	1974	1974	1974	1974	autom	""
autonomia	autonomia	4	1917	1917	1917	1917	autonomia	""
autor	autor	4	1950	1988	1950	1988	autor	""
autor kirjastus	autor kirjastus	18	2013	2017	2013	2017	autor kirjastus	""
autoregistrikeskus	autoregistrikeskus	14	1993	1998	1993	1998	autoregistrikeskus	""
autori kirjastus	autori kirjastus	15	1937	1988	1937	1988	autori kirjastus	""
autorikaitse ühing	autorikaitse ühing	90	1932	1940	1932	1940	autorikaitse ühing	""
autorite kirjastus	autorite kirjastus	6	1926	1947	1926	1947	autorite kirjastus	""
autoriväljaanne	autoriväljaanne	3	1990	1994	1990	1994	autoriväljaanne	""
autosõit	autosõit	3	2002	2017	2002	2017	autosõit	""
autotehnika	autotehnika	1	1930	1930	1930	1930	autotehnika	""
autotranspordi avutuskeskus	autotranspordi avutuskeskus	1	1989	1989	1989	1989	autotranspordi avutuskeskus	""
autotranspordi ja maanteede ministeerium	autotranspordi ja maanteede ministeerium	1	1987	1987	1987	1987	autotranspordi ja maanteede ministeerium	""
autotranspordi ja maanteede ministeeriumi õppekombinaat	autotranspordi ja maanteede ministeeriumi õppekombinaat	1	1984	1984	1984	1984	autotranspordi ja maanteede ministeeriumi õppekombinaat	""
autotranspordi ja maanteetööliste ametiühingu eesti vabariiklik komitee	autotranspordi ja maanteetööliste ametiühingu eesti vabariiklik komitee	1	1986	1986	1986	1986	autotranspordi ja maanteetööliste ametiühingu eesti vabariiklik komitee	""
autotranspordi konstrueerimise ja tehnoloogia büroo	autotranspordi konstrueerimise ja tehnoloogia büroo	1	1990	1990	1990	1990	autotranspordi konstrueerimise ja tehnoloogia büroo	""
autotranspordi peavalitsus	autotranspordi peavalitsus	1	1950	1950	1950	1950	autotranspordi peavalitsus	""
autrement	autrement	1	1999	1999	1999	1999	autrement	""
aux bureaux de la graphologie	aux bureaux de la graphologie	1	1904	1904	1904	1904	aux bureaux de la graphologie	""
av akademikerverlag	av akademikerverlag	1	2012	2012	2012	2012	av akademikerverlag	""
ava	ava	2	1931	2017	1931	2017	ava	""
ava raamat	ava raamat	1	2016	2016	2016	2016	ava raamat	""
avadus hirla  ühispiimatalitus	avadus hirla  ühispiimatalitus	1	1924	1924	1924	1924	avadus hirla  ühispiimatalitus	""
avahoolduse arenduskeskus	avahoolduse arenduskeskus	3	2003	2004	2003	2004	avahoolduse arenduskeskus	""
avain	avain	1	2010	2010	2010	2010	avain	""
avals	avals	1	1994	1994	1994	1994	avals	""
avanduse vallavalitsus	avanduse vallavalitsus	1	1996	1996	1996	1996	avanduse vallavalitsus	""
avanemine	avanemine	3	1998	2005	1998	2005	avanemine	""
avangard galerii	avangard galerii	1	2016	2016	2016	2016	avangard galerii	""
avangard print	avangard print	1	2012	2012	2012	2012	avangard print	""
avarused	avarused	1	1932	1932	1932	1932	avarused	""
avasta eesti mtü	avasta eesti mtü	1	2014	2014	2014	2014	avasta eesti mtü	""
avataara	avataara	1	2003	2003	2003	2003	avataara	""
avatar	avatar	6	2002	2006	2002	2006	avatar	""
avatar grupp	avatar grupp	1	2003	2003	2003	2003	avatar grupp	""
avatar holding	avatar holding	3	2008	2009	2008	2009	avatar holding	""
avatud eesti fond	avatud eesti fond	36	1992	2012	1992	2012	avatud eesti fond	""
avatud eesti fond :	avatud eesti fond :	1	2005	2005	2005	2005	avatud eesti fond :	""
avatud eesti fond...jt.	avatud eesti fond...jt.	1	1999	1999	1999	1999	avatud eesti fond...jt.	""
avatud hariduse liidu rapla kunstiselts	avatud hariduse liidu rapla kunstiselts	1	1999	1999	1999	1999	avatud hariduse liidu rapla kunstiselts	""
avatud hariduse liit	avatud hariduse liit	7	1994	1999	1994	1999	avatud hariduse liit	""
avatud maailm	avatud maailm	2	2017	2017	2017	2017	avatud maailm	""
avatud noortekeskus	avatud noortekeskus	2	2012	2016	2012	2016	avatud noortekeskus	""
avatud piibli ühing	avatud piibli ühing	5	1994	2013	1994	2013	avatud piibli ühing	""
avatud piibli ühing :	avatud piibli ühing :	2	2011	2017	2011	2017	avatud piibli ühing :	""
avatud pulli muinsusala fond	avatud pulli muinsusala fond	1	1998	1998	1998	1998	avatud pulli muinsusala fond	""
avatud ühiskonna instituut	avatud ühiskonna instituut	2	1996	2002	1996	2002	avatud ühiskonna instituut	""
ave vita!	ave vita!	6	2004	2017	2004	2017	ave vita!	""
avebury	avebury	1	1996	1996	1996	1996	avebury	""
avenarius	avenarius	16	1995	2017	1995	2017	avenarius	""
avenbury	avenbury	1	1997	1997	1997	1997	avenbury	""
aviador	aviador	2	2018	2018	2018	2018	aviador	""
avinurme koduloomuuseum	avinurme koduloomuuseum	1	2006	2006	2006	2006	avinurme koduloomuuseum	""
"avinurme kultuuri ja hariduse selts """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""nurmetuled"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	"avinurme kultuuri ja hariduse selts """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""nurmetuled"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	1	2005	2005	2005	2005	"avinurme kultuuri ja hariduse selts ""nurmetuled"	""
avinurme külavanemate koda	avinurme külavanemate koda	1	2009	2009	2009	2009	avinurme külavanemate koda	""
avinurme põllumeeste selts	avinurme põllumeeste selts	1	1922	1922	1922	1922	avinurme põllumeeste selts	""
avinurme valla vastastiku tulekahju puhul avitamise selts	avinurme valla vastastiku tulekahju puhul avitamise selts	1	1922	1922	1922	1922	avinurme valla vastastiku tulekahju puhul avitamise selts	""
avio	avio	2	2015	2017	2015	2017	avio	""
aviopol	aviopol	1	2003	2003	2003	2003	aviopol	""
avispea immaanueli evangeeliumi kristlaste vabausuühing	avispea immaanueli evangeeliumi kristlaste vabausuühing	1	1936	1936	1936	1936	avispea immaanueli evangeeliumi kristlaste vabausuühing	""
avita	avita	2061	1990	2019	1990	2019	avita	""
avita :	avita :	10	2000	2017	2000	2017	avita :	""
avita ;	avita ;	1	1995	1995	1995	1995	avita ;	""
avitaja	avitaja	1	1936	1936	1936	1936	avitaja	""
aviv	aviv	4	1992	1994	1992	1994	aviv	""
avosetta group	avosetta group	2	2016	2017	2016	2017	avosetta group	""
avots	avots	6	1981	2010	1981	2010	avots	""
axel	axel	1	2014	2014	2014	2014	axel	""
axelberg	axelberg	1	1999	1999	1999	1999	axelberg	""
axis europa books	axis europa books	1	1998	1998	1998	1998	axis europa books	""
aün kunstilise isetegevuse maja	aün kunstilise isetegevuse maja	1	1975	1975	1975	1975	aün kunstilise isetegevuse maja	""
aško	aško	1	1936	1936	1936	1936	aško	""
aвeнaриус	aвeнaриус	1	2018	2018	2018	2018	aвeнaриус	""
b.adojaan	b.adojaan	1	2003	2003	2003	2003	b.adojaan	""
b.behr	b.behr	4	1871	1882	1871	1882	b.behr	""
b.behr's buchhandlung	b.behr's buchhandlung	1	1870	1870	1870	1870	b.behr's buchhandlung	""
b.behr's buchhandlung (e.bock)	b.behr's buchhandlung (e.bock)	1	1864	1864	1864	1864	b.behr's buchhandlung (e.bock)	""
b.bernstein	b.bernstein	1	1939	1939	1939	1939	b.bernstein	""
b.bleicher	b.bleicher	3	2012	2012	2012	2012	b.bleicher	""
b.braun medical	b.braun medical	1	2002	2002	2002	2002	b.braun medical	""
b.c.mitscherlich	b.c.mitscherlich	1	1779	1779	1779	1779	b.c.mitscherlich	""
b.e.t.e.	b.e.t.e.	1	1999	1999	1999	1999	b.e.t.e.	""
b.ederberg	b.ederberg	1	1935	1935	1935	1935	b.ederberg	""
b.g.forseliuse selts	b.g.forseliuse selts	7	1996	2008	1996	2008	b.g.forseliuse selts	""
b.g.hoffmann	b.g.hoffmann	1	1800	1800	1800	1800	b.g.hoffmann	""
b.g.teubner	b.g.teubner	1	1877	1877	1877	1877	b.g.teubner	""
b.gorbunov	b.gorbunov	2	2002	2005	2002	2005	b.gorbunov	""
b.götze	b.götze	1	1937	1937	1937	1937	b.götze	""
b.h.teubner	b.h.teubner	2	1915	1916	1915	1916	b.h.teubner	""
b.j.v.krüdener	b.j.v.krüdener	1	1819	1819	1819	1819	b.j.v.krüdener	""
b.kangerman	b.kangerman	2	1934	1934	1934	1934	b.kangerman	""
b.kangermann	b.kangermann	3	1934	1934	1934	1934	b.kangermann	""
b.karlik	b.karlik	1	2004	2004	2004	2004	b.karlik	""
b.kuusik	b.kuusik	2	2003	2005	2003	2005	b.kuusik	""
b.laan	b.laan	1	1959	1959	1959	1959	b.laan	""
b.laanem	b.laanem	1	1997	1997	1997	1997	b.laanem	""
b.lepik	b.lepik	1	1938	1938	1938	1938	b.lepik	""
b.lindberg	b.lindberg	1	Inf	-Inf	Inf	-Inf	b.lindberg	""
b.lundblade	b.lundblade	1	2000	2000	2000	2000	b.lundblade	""
b.m.suumann	b.m.suumann	1	2000	2000	2000	2000	b.m.suumann	""
b.mändla	b.mändla	1	1996	1996	1996	1996	b.mändla	""
b.mäns	b.mäns	2	1902	1902	1902	1902	b.mäns	""
b.nykänen	b.nykänen	1	1939	1939	1939	1939	b.nykänen	""
b.nykänen ja h.põldvere	b.nykänen ja h.põldvere	1	1938	1938	1938	1938	b.nykänen ja h.põldvere	""
b.pao	b.pao	1	2003	2003	2003	2003	b.pao	""
b.parm	b.parm	1	1937	1937	1937	1937	b.parm	""
b.pavlov	b.pavlov	1	1935	1935	1935	1935	b.pavlov	""
b.puškin	b.puškin	1	2002	2002	2002	2002	b.puškin	""
b.saul	b.saul	2	2012	2014	2012	2014	b.saul	""
b.t.batsford	b.t.batsford	1	1997	1997	1997	1997	b.t.batsford	""
b.tesnov	b.tesnov	1	2001	2001	2001	2001	b.tesnov	""
b.tiido	b.tiido	1	1934	1934	1934	1934	b.tiido	""
b.tikkar	b.tikkar	2	1923	1926	1923	1926	b.tikkar	""
b.vasserman	b.vasserman	2	1999	2009	1999	2009	b.vasserman	""
b.viiding	b.viiding	4	1998	2000	1998	2000	b.viiding	""
b.w.huebsch	b.w.huebsch	1	1923	1923	1923	1923	b.w.huebsch	""
baas	baas	1	2002	2002	2002	2002	baas	""
bacmeister	bacmeister	1	1880	1880	1880	1880	bacmeister	""
bade commission	bade commission	1	1893	1893	1893	1893	bade commission	""
badekommission	badekommission	1	1909	1909	1909	1909	badekommission	""
badischer kunstverein	badischer kunstverein	1	1992	1992	1992	1992	badischer kunstverein	""
baedeker	baedeker	1	2000	2000	2000	2000	baedeker	""
bahama	bahama	2	2001	2002	2001	2002	bahama	""
bahama :	bahama :	1	2000	2000	2000	2000	bahama :	""
bahama press	bahama press	28	2001	2006	2001	2006	bahama press	""
