kirjastus_orig	kirjastus_standardized	N	min_time	max_time	min_time_st	max_time_st	standardizing_name	manual_verified
эстонский научно исследовательный институт животноводства и ветеринарии	эстонский научно исследовательный институт животноводства и ветеринарии	9	1974	1984	1974	1984	эстонский научно исследовательный институт животноводства и ветеринарии	""
эстонский научно исследовательский институт	эстонский научно исследовательский институт	2	1958	1975	1958	1975	эстонский научно исследовательский институт	""
эстонский научно исследовательский институт  животноводства и ветеринарии	эстонский научно исследовательский институт  животноводства и ветеринарии	2	1975	1975	1975	1975	эстонский научно исследовательский институт  животноводства и ветеринарии	""
эстонский научно исследовательский институт ветеринарии	эстонский научно исследовательский институт ветеринарии	1	1972	1972	1972	1972	эстонский научно исследовательский институт ветеринарии	""
эстонский научно исследовательский институт животноводства	эстонский научно исследовательский институт животноводства	1	1979	1979	1979	1979	эстонский научно исследовательский институт животноводства	""
эстонский научно исследовательский институт животноводства  и ветеринарии	эстонский научно исследовательский институт животноводства  и ветеринарии	1	1989	1989	1989	1989	эстонский научно исследовательский институт животноводства  и ветеринарии	""
эстонский научно исследовательский институт животноводства и ве еринарии	эстонский научно исследовательский институт животноводства и ве еринарии	1	1975	1975	1975	1975	эстонский научно исследовательский институт животноводства и ве еринарии	""
эстонский научно исследовательский институт животноводства и ветеранирии	эстонский научно исследовательский институт животноводства и ветеранирии	1	1975	1975	1975	1975	эстонский научно исследовательский институт животноводства и ветеранирии	""
эстонский научно исследовательский институт животноводства и ветеринарии	эстонский научно исследовательский институт животноводства и ветеринарии	148	1959	1991	1959	1991	эстонский научно исследовательский институт животноводства и ветеринарии	""
эстонский научно исследовательский институт животноводства и ветеринарии им.а.мельдера	эстонский научно исследовательский институт животноводства и ветеринарии им.а.мельдера	9	1968	1991	1968	1991	эстонский научно исследовательский институт животноводства и ветеринарии им.а.мельдера	""
эстонский научно исследовательский институт животноводства и ветеринарии им.а.э.мельдера	эстонский научно исследовательский институт животноводства и ветеринарии им.а.э.мельдера	2	1980	1986	1980	1986	эстонский научно исследовательский институт животноводства и ветеринарии им.а.э.мельдера	""
эстонский научно исследовательский институт животноводства и ветеринврии им.а.мельдера	эстонский научно исследовательский институт животноводства и ветеринврии им.а.мельдера	1	1981	1981	1981	1981	эстонский научно исследовательский институт животноводства и ветеринврии им.а.мельдера	""
эстонский научно исследовательский институт животноводство и ветеринарии	эстонский научно исследовательский институт животноводство и ветеринарии	1	1979	1979	1979	1979	эстонский научно исследовательский институт животноводство и ветеринарии	""
эстонский научно исследовательский институт земледелии мелиорации	эстонский научно исследовательский институт земледелии мелиорации	1	1980	1980	1980	1980	эстонский научно исследовательский институт земледелии мелиорации	""
эстонский научно исследовательский институт земледелия и мелиорации	эстонский научно исследовательский институт земледелия и мелиорации	19	1957	1982	1957	1982	эстонский научно исследовательский институт земледелия и мелиорации	""
эстонский научно исследовательский институт земледения и мелиорации	эстонский научно исследовательский институт земледения и мелиорации	1	1962	1962	1962	1962	эстонский научно исследовательский институт земледения и мелиорации	""
